holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,279.32,0,0,90,Clouds,overcast clouds,10/7/2012 17:00,3833
None,279.27,0,0,90,Clouds,overcast clouds,10/7/2012 18:00,4015
None,278.11,0,0,90,Clouds,overcast clouds,10/7/2012 19:00,3382
None,276.79,0,0,75,Clouds,broken clouds,10/7/2012 20:00,2815
None,275.73,0,0,90,Clouds,overcast clouds,10/7/2012 21:00,2110
None,274.88,0,0,75,Clouds,broken clouds,10/7/2012 22:00,1555
None,273.92,0,0,20,Clouds,few clouds,10/7/2012 23:00,959
Columbus Day,273.08,0,0,20,Clouds,few clouds,10/8/2012 0:00,455
None,272.62,0,0,20,Clouds,few clouds,10/8/2012 1:00,336
None,271.78,0,0,1,Clear,sky is clear,10/8/2012 2:00,265
None,271.05,0,0,1,Clear,sky is clear,10/8/2012 3:00,314
None,270.63,0,0,1,Clear,sky is clear,10/8/2012 4:00,779
None,270.33,0,0,1,Clear,sky is clear,10/8/2012 5:00,2571
None,269.61,0,0,20,Clouds,few clouds,10/8/2012 6:00,5563
None,270.01,0,0,20,Clouds,few clouds,10/8/2012 7:00,6676
None,271.23,0,0,20,Clouds,few clouds,10/8/2012 8:00,5966
None,273.71,0,0,20,Clouds,few clouds,10/8/2012 9:00,4832
None,276.77,0,0,20,Clouds,few clouds,10/8/2012 10:00,4395
None,279.47,0,0,20,Clouds,few clouds,10/8/2012 11:00,4411
None,279.84,0,0,1,Clear,sky is clear,10/8/2012 12:00,4648
None,282.34,0,0,40,Clouds,scattered clouds,10/8/2012 13:00,4602
None,282.94,0,0,40,Clouds,scattered clouds,10/8/2012 14:00,5125
None,283.48,0,0,1,Clear,sky is clear,10/8/2012 15:00,5502
None,284.33,0,0,1,Clear,sky is clear,10/8/2012 16:00,5979
None,284.48,0,0,40,Clouds,scattered clouds,10/8/2012 17:00,5663
None,284.23,0,0,40,Clouds,scattered clouds,10/8/2012 18:00,4259
None,281.99,0,0,20,Clouds,few clouds,10/8/2012 19:00,3069
None,279.81,0,0,1,Clear,sky is clear,10/8/2012 20:00,2378
None,279.35,0,0,1,Clear,sky is clear,10/8/2012 21:00,2030
None,278.9,0,0,1,Clear,sky is clear,10/8/2012 22:00,1400
None,278.46,0,0,1,Clear,sky is clear,10/8/2012 23:00,917
None,277.78,0,0,1,Clear,sky is clear,10/9/2012 0:00,515
None,277.27,0,0,1,Clear,sky is clear,10/9/2012 1:00,302
None,277.47,0,0,1,Clear,sky is clear,10/9/2012 2:00,251
None,276.97,0,0,20,Clouds,few clouds,10/9/2012 4:00,798
None,276.52,0,0,40,Clouds,scattered clouds,10/9/2012 5:00,2678
None,276.6,0,0,40,Clouds,scattered clouds,10/9/2012 6:00,5733
None,277.31,0,0,75,Clouds,broken clouds,10/9/2012 7:00,6449
None,278.38,0,0,90,Clouds,overcast clouds,10/9/2012 8:00,5765
None,279.35,0,0,90,Clouds,overcast clouds,10/9/2012 9:00,5599
None,281.37,0,0,90,Clouds,overcast clouds,10/9/2012 10:00,4534
None,283.11,0,0,90,Clouds,overcast clouds,10/9/2012 11:00,4691
None,284.08,0,0,75,Clouds,broken clouds,10/9/2012 12:00,5067
None,285.14,0,0,75,Clouds,broken clouds,10/9/2012 13:00,5030
None,286.35,0,0,90,Clouds,overcast clouds,10/9/2012 14:00,5300
None,287.23,0,0,100,Rain,light rain,10/9/2012 15:00,5777
None,288.53,0,0,90,Clouds,overcast clouds,10/9/2012 16:00,6349
None,290.37,0,0,90,Clouds,overcast clouds,10/9/2012 17:00,6127
None,290.13,0,0,90,Clouds,overcast clouds,10/9/2012 18:00,4460
None,288.86,0,0,75,Clouds,broken clouds,10/9/2012 19:00,3418
None,287.36,0,0,90,Clouds,overcast clouds,10/9/2012 20:00,2775
None,285.11,0,0,90,Clouds,overcast clouds,10/9/2012 21:00,2306
None,283.46,0,0,90,Clouds,overcast clouds,10/9/2012 22:00,1846
None,282.45,0,0,90,Clouds,overcast clouds,10/9/2012 23:00,947
None,281.88,0,0,90,Clouds,overcast clouds,10/10/2012 0:00,494
None,281.78,0,0,90,Clouds,overcast clouds,10/10/2012 1:00,332
None,281.09,0,0,75,Clouds,broken clouds,10/10/2012 2:00,261
None,281.17,0,0,90,Clouds,overcast clouds,10/10/2012 3:00,361
None,281.25,0,0,92,Clear,sky is clear,10/10/2012 6:00,5875
None,281.25,0,0,99,Rain,light rain,10/10/2012 7:00,6793
None,281.25,0,0,99,Drizzle,light intensity drizzle,10/10/2012 7:00,6793
None,280.1,0,0,99,Rain,light rain,10/10/2012 8:00,6283
None,280.1,0,0,99,Drizzle,light intensity drizzle,10/10/2012 8:00,6283
None,279.61,0,0,99,Rain,light rain,10/10/2012 9:00,5680
None,279.61,0,0,99,Drizzle,light intensity drizzle,10/10/2012 9:00,5680
None,279.67,0,0,99,Clear,sky is clear,10/10/2012 10:00,4632
None,280.19,0,0,1,Clear,sky is clear,10/10/2012 11:00,4887
None,282.09,0,0,75,Clouds,broken clouds,10/10/2012 12:00,5030
None,282.26,0,0,75,Clouds,broken clouds,10/10/2012 13:00,5067
None,282.05,0,0,90,Clouds,overcast clouds,10/10/2012 14:00,5227
None,281.59,0,0,90,Clouds,overcast clouds,10/10/2012 15:00,5610
None,281.23,0,0,81,Clear,sky is clear,10/10/2012 16:00,6286
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 18:00,4775
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 19:00,3340
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 20:00,3013
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 21:00,2603
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 22:00,1910
None,282.6,0,0,81,Clear,sky is clear,10/10/2012 23:00,1037
None,273.9,0,0,1,Clear,sky is clear,10/11/2012 1:00,347
None,274.4,0,0,75,Clouds,broken clouds,10/11/2012 3:00,350
None,274.05,0,0,75,Clouds,broken clouds,10/11/2012 4:00,850
None,273.71,0,0,40,Clouds,scattered clouds,10/11/2012 5:00,2791
None,272.66,0,0,1,Clear,sky is clear,10/11/2012 6:00,5809
None,272.65,0,0,1,Clear,sky is clear,10/11/2012 7:00,6798
None,272.52,0,0,1,Clear,sky is clear,10/11/2012 8:00,6304
None,275.19,0,0,20,Clouds,few clouds,10/11/2012 9:00,5291
None,275.34,0,0,1,Clear,sky is clear,10/11/2012 10:00,4638
None,284.1,0,0,50,Clear,sky is clear,10/11/2012 14:00,5557
None,284.1,0,0,50,Clear,sky is clear,10/11/2012 15:00,5818
None,283.78,0,0,75,Clouds,broken clouds,10/11/2012 16:00,6272
None,283.52,0,0,75,Clouds,broken clouds,10/11/2012 17:00,5944
None,283.32,0,0,90,Clouds,overcast clouds,10/11/2012 18:00,4949
None,282.06,0,0,90,Clouds,overcast clouds,10/11/2012 19:00,3511
None,281.95,0,0,90,Clouds,overcast clouds,10/11/2012 20:00,3039
None,281.81,0,0,90,Clouds,overcast clouds,10/11/2012 21:00,2679
None,282.16,0,0,90,Clouds,overcast clouds,10/11/2012 22:00,2094
None,282.53,0,0,90,Clouds,overcast clouds,10/11/2012 23:00,1284
None,283.91,0,0,90,Clouds,overcast clouds,10/12/2012 0:00,630
None,284.64,0,0,90,Clouds,overcast clouds,10/12/2012 1:00,410
None,284.61,0,0,90,Clouds,overcast clouds,10/12/2012 2:00,331
None,283.18,0,0,72,Drizzle,light intensity drizzle,10/12/2012 3:00,372
None,282.26,0,0,72,Rain,light rain,10/12/2012 4:00,739
None,280.77,0,0,72,Drizzle,light intensity drizzle,10/12/2012 5:00,2561
None,278.53,0,0,75,Clouds,broken clouds,10/12/2012 6:00,5586
None,277.64,0,0,75,Clouds,broken clouds,10/12/2012 7:00,6992
None,277.9,0,0,90,Clouds,overcast clouds,10/12/2012 8:00,5860
None,278.18,0,0,90,Clouds,overcast clouds,10/12/2012 9:00,5230
None,279.29,0,0,75,Clouds,broken clouds,10/12/2012 10:00,4864
None,280.45,0,0,75,Clouds,broken clouds,10/12/2012 11:00,5146
None,280.95,0,0,40,Clouds,scattered clouds,10/12/2012 12:00,5526
None,281.74,0,0,40,Clouds,scattered clouds,10/12/2012 13:00,5383
None,281.84,0,0,75,Clouds,broken clouds,10/12/2012 14:00,5758
None,282.45,0,0,75,Clouds,broken clouds,10/12/2012 15:00,5889
None,282.2,0,0,75,Clouds,broken clouds,10/12/2012 16:00,6057
None,281.54,0,0,40,Clouds,scattered clouds,10/12/2012 17:00,6028
None,280.21,0,0,20,Clouds,few clouds,10/12/2012 18:00,5257
None,282.2,0,0,56,Clear,sky is clear,10/12/2012 23:00,1897
None,272.58,0,0,1,Clear,sky is clear,10/13/2012 0:00,1335
None,272.06,0,0,1,Clear,sky is clear,10/13/2012 1:00,769
None,270.99,0,0,1,Clear,sky is clear,10/13/2012 2:00,570
None,270.29,0,0,20,Clouds,few clouds,10/13/2012 3:00,413
None,269.48,0,0,1,Clear,sky is clear,10/13/2012 4:00,399
None,269.27,0,0,1,Clear,sky is clear,10/13/2012 5:00,740
None,268.91,0,0,1,Clear,sky is clear,10/13/2012 6:00,1420
None,268.98,0,0,75,Clouds,broken clouds,10/13/2012 7:00,2220
None,269.23,0,0,40,Clouds,scattered clouds,10/13/2012 8:00,3479
None,272.61,0,0,40,Clouds,scattered clouds,10/13/2012 9:00,4546
None,276.78,0,0,20,Clouds,few clouds,10/13/2012 10:00,4579
None,279.22,0,0,1,Clear,sky is clear,10/13/2012 11:00,4438
None,280.35,0,0,1,Clear,sky is clear,10/13/2012 12:00,4623
None,281.81,0,0,1,Clear,sky is clear,10/13/2012 13:00,4440
None,283.05,0,0,1,Clear,sky is clear,10/13/2012 14:00,4495
None,283.96,0,0,1,Clear,sky is clear,10/13/2012 15:00,4483
None,284.53,0,0,1,Clear,sky is clear,10/13/2012 16:00,4591
None,284.44,0,0,1,Clear,sky is clear,10/13/2012 17:00,4477
None,283.64,0,0,1,Clear,sky is clear,10/13/2012 18:00,4221
None,281.85,0,0,20,Clouds,few clouds,10/13/2012 19:00,3672
None,281.38,0,0,1,Clear,sky is clear,10/13/2012 20:00,3015
None,281.84,0,0,75,Clouds,broken clouds,10/13/2012 21:00,2769
None,282.23,0,0,90,Clouds,overcast clouds,10/13/2012 22:00,2875
None,282.18,0,0,90,Clouds,overcast clouds,10/13/2012 23:00,1931
None,282.49,0,0,90,Clouds,overcast clouds,10/14/2012 0:00,1309
None,282.54,0,0,90,Clouds,overcast clouds,10/14/2012 1:00,870
None,282.58,0,0,90,Clouds,overcast clouds,10/14/2012 2:00,654
None,282.23,0,0,90,Clouds,overcast clouds,10/14/2012 3:00,364
None,282.08,0,0,90,Clouds,overcast clouds,10/14/2012 4:00,262
None,282.23,0,0,90,Clouds,overcast clouds,10/14/2012 5:00,505
None,282.24,0,0,90,Clouds,overcast clouds,10/14/2012 6:00,861
None,282.24,0,0,90,Clouds,overcast clouds,10/14/2012 7:00,1132
None,282.24,0,0,57,Mist,mist,10/14/2012 8:00,1797
None,282.43,0,0,57,Drizzle,light intensity drizzle,10/14/2012 9:00,2685
None,282.43,0,0,57,Mist,mist,10/14/2012 9:00,2685
None,282.43,0,0,57,Haze,haze,10/14/2012 9:00,2685
None,282.33,0,0,57,Drizzle,light intensity drizzle,10/14/2012 10:00,3370
None,282.33,0,0,57,Mist,mist,10/14/2012 10:00,3370
None,282.82,0,0,57,Drizzle,light intensity drizzle,10/14/2012 11:00,3662
None,282.82,0,0,57,Mist,mist,10/14/2012 11:00,3662
None,283.33,0,0,57,Mist,mist,10/14/2012 12:00,4076
None,283.33,0,0,57,Rain,light rain,10/14/2012 12:00,4076
None,283.33,0,0,57,Drizzle,light intensity drizzle,10/14/2012 12:00,4076
None,283.75,0,0,93,Rain,light rain,10/14/2012 13:00,4128
None,283.75,0,0,93,Mist,mist,10/14/2012 13:00,4128
None,283.75,0,0,93,Drizzle,light intensity drizzle,10/14/2012 13:00,4128
None,284.09,0,0,93,Mist,mist,10/14/2012 14:00,4358
None,284.09,0,0,93,Rain,light rain,10/14/2012 14:00,4358
None,284.09,0,0,93,Drizzle,light intensity drizzle,10/14/2012 14:00,4358
None,284.55,0,0,93,Mist,mist,10/14/2012 15:00,4342
None,284.55,0,0,93,Rain,light rain,10/14/2012 15:00,4342
None,284.68,0,0,93,Mist,mist,10/14/2012 16:00,4234
None,284.64,0,0,93,Rain,light rain,10/14/2012 17:00,4271
None,284.64,0,0,93,Mist,mist,10/14/2012 17:00,4271
None,284.4,0,0,93,Mist,mist,10/14/2012 18:00,4080
None,284.17,0,0,93,Mist,mist,10/14/2012 19:00,3453
None,284.03,0,0,93,Mist,mist,10/14/2012 20:00,2718
None,283.58,0,0,93,Mist,mist,10/14/2012 21:00,2439
None,283.04,0,0,93,Mist,mist,10/14/2012 22:00,1819
None,281.95,0,0,93,Mist,mist,10/14/2012 23:00,1002
None,281.95,0,0,93,Fog,fog,10/14/2012 23:00,1002
None,281.61,0,0,93,Mist,mist,10/15/2012 0:00,542
None,281.61,0,0,93,Fog,fog,10/15/2012 0:00,542
None,281.57,0,0,85,Fog,fog,10/15/2012 1:00,303
None,281.42,0,0,85,Fog,fog,10/15/2012 2:00,239
None,281.29,0,0,85,Mist,mist,10/15/2012 3:00,335
None,281.29,0,0,85,Fog,fog,10/15/2012 3:00,335
None,281.02,0,0,85,Mist,mist,10/15/2012 4:00,810
None,281.02,0,0,85,Fog,fog,10/15/2012 4:00,810
None,280.82,0,0,85,Mist,mist,10/15/2012 5:00,2606
None,280.82,0,0,85,Fog,fog,10/15/2012 5:00,2606
None,280.39,0,0,85,Mist,mist,10/15/2012 6:00,5714
None,280.19,0,0,100,Mist,mist,10/15/2012 7:00,6798
None,279.82,0,0,100,Mist,mist,10/15/2012 8:00,6114
None,279.75,0,0,100,Mist,mist,10/15/2012 9:00,5094
None,280.07,0,0,100,Mist,mist,10/15/2012 10:00,4473
None,280.32,0,0,90,Clouds,overcast clouds,10/15/2012 11:00,4529
None,281.72,0,0,100,Clear,sky is clear,10/15/2012 12:00,4823
None,284.01,0,0,40,Clouds,scattered clouds,10/15/2012 13:00,4872
None,285.88,0,0,1,Clear,sky is clear,10/15/2012 14:00,5238
None,286.87,0,0,1,Clear,sky is clear,10/15/2012 15:00,5584
None,287.6,0,0,20,Clouds,few clouds,10/15/2012 16:00,6246
None,287.27,0,0,20,Clouds,few clouds,10/15/2012 17:00,5957
None,286.18,0,0,20,Clouds,few clouds,10/15/2012 18:00,4535
None,285.2,0,0,75,Clouds,broken clouds,10/15/2012 19:00,3234
None,284.68,0,0,75,Clouds,broken clouds,10/15/2012 20:00,2677
None,284.49,0,0,90,Clouds,overcast clouds,10/15/2012 21:00,2077
None,283.54,0,0,20,Clouds,few clouds,10/15/2012 22:00,1380
None,282.33,0,0,75,Clouds,broken clouds,10/15/2012 23:00,927
None,281.21,0,0,20,Clouds,few clouds,10/16/2012 0:00,500
None,279.87,0,0,1,Clear,sky is clear,10/16/2012 1:00,324
None,278.93,0,0,1,Clear,sky is clear,10/16/2012 2:00,257
None,277.91,0,0,1,Clear,sky is clear,10/16/2012 3:00,354
None,277.21,0,0,1,Clear,sky is clear,10/16/2012 4:00,769
None,276.61,0,0,1,Clear,sky is clear,10/16/2012 5:00,2769
None,276.11,0,0,1,Clear,sky is clear,10/16/2012 6:00,5789
None,274.81,0,0,20,Clouds,few clouds,10/16/2012 7:00,7055
None,274.99,0,0,20,Clouds,few clouds,10/16/2012 8:00,6408
None,277.91,0,0,20,Clouds,few clouds,10/16/2012 9:00,5254
None,280.71,0,0,20,Clouds,few clouds,10/16/2012 10:00,4547
None,283.85,0,0,20,Clouds,few clouds,10/16/2012 11:00,4784
None,286.01,0,0,40,Clouds,scattered clouds,10/16/2012 12:00,5015
None,286.31,0,0,1,Clear,sky is clear,10/16/2012 13:00,5057
None,288.15,0,0,75,Clouds,broken clouds,10/16/2012 14:00,5430
None,289.15,0,0,75,Clouds,broken clouds,10/16/2012 15:00,5813
None,288.99,0,0,75,Clouds,broken clouds,10/16/2012 16:00,6496
None,288.86,0,0,75,Clouds,broken clouds,10/16/2012 17:00,6429
None,288.16,0,0,90,Clouds,overcast clouds,10/16/2012 18:00,5142
None,287.28,0,0,68,Rain,light rain,10/16/2012 19:00,3311
None,287.04,0,0,90,Clouds,overcast clouds,10/16/2012 20:00,2777
None,286.9,0,0,90,Clouds,overcast clouds,10/16/2012 21:00,2331
None,287.09,0,0,90,Clouds,overcast clouds,10/16/2012 22:00,1767
None,287.09,0,0,90,Clouds,overcast clouds,10/16/2012 23:00,1093
None,286.89,0,0,75,Clouds,broken clouds,10/17/2012 0:00,554
None,286.93,0,0,75,Clouds,broken clouds,10/17/2012 1:00,333
None,286.93,0,0,90,Clouds,overcast clouds,10/17/2012 2:00,267
None,287.07,0,0,90,Clouds,overcast clouds,10/17/2012 3:00,358
None,286.56,0,0,75,Clouds,broken clouds,10/17/2012 4:00,777
None,285.91,0,0,90,Clouds,overcast clouds,10/17/2012 5:00,2732
None,285.29,0,0,90,Clouds,overcast clouds,10/17/2012 6:00,5637
None,284.92,0,0,75,Clouds,broken clouds,10/17/2012 7:00,5564
None,285.35,0,0,75,Clouds,broken clouds,10/17/2012 8:00,6274
None,285.72,0,0,100,Rain,proximity shower rain,10/17/2012 9:00,5403
None,285.72,0,0,100,Rain,light rain,10/17/2012 9:00,5403
None,287.09,0,0,75,Clouds,broken clouds,10/17/2012 10:00,4680
None,288.31,0,0,75,Clouds,broken clouds,10/17/2012 11:00,4642
None,288.61,0,0,1,Clear,sky is clear,10/17/2012 12:00,4979
None,290.32,0,0,1,Clear,sky is clear,10/17/2012 13:00,4851
None,291.36,0,0,1,Clear,sky is clear,10/17/2012 14:00,4291
None,292.01,0,0,1,Clear,sky is clear,10/17/2012 15:00,4714
None,292.61,0,0,1,Clear,sky is clear,10/17/2012 16:00,6723
None,292.65,0,0,1,Clear,sky is clear,10/17/2012 17:00,6180
None,290.52,0,0,40,Clouds,scattered clouds,10/17/2012 18:00,4843
None,288.35,0,0,40,Clouds,scattered clouds,10/17/2012 19:00,3435
None,286.72,0,0,40,Clouds,scattered clouds,10/17/2012 20:00,2921
None,285.49,0,0,40,Clouds,scattered clouds,10/17/2012 21:00,2763
None,284.22,0,0,20,Clouds,few clouds,10/17/2012 22:00,1930
None,283.8,0,0,20,Clouds,few clouds,10/17/2012 23:00,1160
None,283.72,0,0,20,Clouds,few clouds,10/18/2012 0:00,654
None,282.8,0,0,40,Clouds,scattered clouds,10/18/2012 1:00,374
None,282.32,0,0,99,Mist,mist,10/18/2012 2:00,301
None,282.38,0,0,99,Mist,mist,10/18/2012 3:00,397
None,282.76,0,0,90,Clouds,overcast clouds,10/18/2012 4:00,794
None,282.88,0,0,99,Mist,mist,10/18/2012 5:00,2564
None,284.18,0,0,75,Clouds,broken clouds,10/18/2012 6:00,5358
None,284.69,0,0,90,Clouds,overcast clouds,10/18/2012 7:00,6441
